Exhibitor,Country,Stand Number,Website,Logo,Products
CANAL DE PANAMA,Panama,2.112,http://www.pancanal.com,,"Canal Authorities, Services"
CANDIA VELIVASAKIS BROS SA,Greece,1.242,,http://posidoniacrm.posidonia-events.com/Companies/GetCompanyLogo?CompanyId=62820,
CANTALUPI LIGHTING SRL,Italy,3.131/12,,,"Electrical, Electronics"
CAPE LINE LTD,"Korea, Republic of",2.321,,,Ship Spare Parts
CAPE LITE K.A.N. MARINE SERVICES LTD.,Greece,2.321,,,"Firefighting Equipment, Safety Equipment, Services, Services Providers"
CAPTAIN NEMO -  A. THEODOSIS - M. PANOUTSOPOULOS,Greece,3.131/9,http://www.captainnemo.gr,,"Deck Equipment, Ship Suppliers"
CARALB MARITIMA SA,Spain,3.426,,,"Port Agencies, Services"
CARENA SHIP REPAIR,Ivory Coast,1.317,,,"Repair Services, Shipbuilding, Repair Yards"
CARGO CARE SOLUTIONS B.V.,"Netherlands, The",3.552,http://www.cargocaresolutions.com,,"Cargo Handling, Cargo Systems, Deck Equipment, Dredging Equipment, Hydraulics, Port Equipment, Pumps, Valves, Repair Services, Retrofitting, Seals & Packings, Ship Spare Parts"
CARIBBEAN DOCKYARD & ENGINEERING SERVICES LIMITED,Trinidad and Tobago,"2.419,4.309",,,"Shipbuilding, Repair Yards"
CARIBBEAN MARINE SOLUTIONS DEB,Dominican Republic,1.317,,,In/Under-Water Repairs & Services
CARIBBEAN SEA DIVER,Aruba,2.419,,,"In/Under-Water Repairs & Services, Propellers, Underwater Technology"
CARIBBEAN SEA DIVER,Curacao,2.419,,,"In/Under-Water Repairs & Services, Propellers, Underwater Technology"
CARLO CAVAZZI,Italy,1.419,,,Automation
CARRIER MARINE SYSTEMS,USA,2.433,,,"Airconditioning, Ventilation, Automation, Ship Spare Parts"
CARRIER REFRIGERATION,USA,2.433,,,Refrigeration Systems
CATHELCO LTD,United Kingdom,2.321,,,Corrosion Protection
CAYMAN REGISTRY,Cayman Islands,4.106,http://www.cishipping.com,,"Government Organisations / Institutions, Vessel Registration"
C.C.JENSEN (GREECE) LTD,Greece,4.125,,,Filtration
CCS (CHINA CLASSIFICATION SOCIETY),China,2.501,http://www.ccs.org.cn,,Classification Societies
CECCATO COMPRESSORS,Italy,2.322,,,"Compressor Suppliers, Filtration, Refrigeration Systems"
CENTA COUPLINGS,Germany,3.355,,,"Propulsion Systems, Steering Gear, Equipment"
CENTRE DE LA MER,Senegal,2.419,,,"In/Under-Water Repairs & Services, Propellers, Underwater Technology"
CENTURY CORPORATION,"Korea, Republic of",3.132,,,"Airconditioning, Ventilation"
CERNAVAL SHIPYARDS GROUP,Spain,2.419,,,"Repair Services, Shipbuilding, Repair Yards"
CHALKIS SHIPYARDS SA,Greece,3.311,http://www.chalkis-shipyards.gr,http://posidoniacrm.posidonia-events.com/Companies/GetCompanyLogo?CompanyId=3377,"Shipbuilding, Repair Yards"
CHAMBER OF MAGNESIA,Greece,4.227,,,"Associations, Organisations"
"CHANGZHOU MARINE CABLE CO., LTD.",China,2.305/B,http://www.cmcw.com.cn,,Cables
"CHANGZHOU TIANLI TURBOCHARGING EQUIPMENT CO.,LTD.",China,1.312,http://WWW.CZTL.CC,,"Repair Services, Ship Spare Parts"
CHANTIER NAVAL DE MARSEILLE,France,1.115,,,"Shipbuilding, Repair Yards"
CHART FEROX A.S.,Czech Republic,3.315,,,"Cargo Handling, Cargo Systems, Clean Energy Solutions & Equipment, Cryogenic Equipment, Deck Equipment, Engineroom Equipment, LNG Technology"
CHELSEA TECHNOLOGIES GROUP,United Kingdom,4.219,http://www.chelsea.co.uk,,"Ballast Water Management, Clean Energy Solutions & Equipment, Design & Innovation, Environmental Technologies, Exhaust Gas Cleaning Solutions, Monitoring Equipment, Port Equipment, Sewage Treatment, Underwater Technology, Water Saving & Treatment Systems"
CHEMCO INTERNATIONAL LTD,United Kingdom,2.221,http://www.chemcoint.com,,"Coatings, Paints"
CHEMO HELLAS SA,Greece,1.523,http://www.chemomarine.com,http://posidoniacrm.posidonia-events.com/Companies/GetCompanyLogo?CompanyId=39803,"Chemicals, Sewage Treatment, Tank Cleaning Systems"
"CHENGXI SHIPYARD CO, LTD",China,"1.521,1.317,3.307",,,"Repair Services, Shipbuilding, Repair Yards"
CHENGXI XINRONG,China,4.213,,,"Shipbuilding, Repair Yards"
CHIDAMBARAM SHIPCARE PRIVATE LIMITED,India,1.539,,,"Ballast Water Management, Repair Services, Shipbuilding, Repair Yards"
CHINA CHANGJIANG NATIONAL SHIPPING GROUP CORP.,China,4.213,,,"Shipbuilding, Repair Yards"
CHINA COUNCIL FOR THE PROMOTION OF INTERNATIONAL TRADE-MACHINERY SUB-COUNCIL,China,"2.305,2.237,4.212,2.305",http://www.chinamachine.org.cn,,Government Organisations / Institutions
CHINA MARINE SHIPPING AGENCY ZHOUSHAN COMPANY,China,1.351/C,,,Ship Agents
"CHINA SHIPBUILDING INDUSTRY CORP DIESEL ENGINE (CSE - YMD, DMD, QMD)",China,2.102,http://www.qmdltd.com.cn,,"Propulsion Systems, Ship Spare Parts"
CHINA SHIPBUILDING INDUSTRY CORPORATION,China,1.311,http://www.csic.com.cn,,"Shipbuilding, Repair Yards, Ship Suppliers"
"CHINA SHIPBUILDING INDUSTRY EQUIPMENT AND MATERIALS CO, LTD",China,4.212/A,http://www.csemc.com,,"Accommodation Systems/Materials, Anchors, Chains, Cables, Corrosion Protection, Deck Equipment, Electrical, Electronics, Firefighting Equipment, Marine Fenders & Hoses, Mooring Equipment & Ropes, Port Equipment, Safety Equipment, Services, Seals & Packings, Ship Suppliers"
"CHINA SHIPPING INDUSTRY CO., LTD. LIXIN SHIPYARD",China,4.213,,,"Shipbuilding, Repair Yards"
CHINA SOUTHERN AIRLINES,China,"1.446,WS5",http://www.csair.com,http://posidoniacrm.posidonia-events.com/Companies/GetCompanyLogo?CompanyId=61460,"Airlines, Aviation"
CHINA STATE SHIPBUILDING CORPORATION,China,2.301,http://www.cssc.net.cn,,"Shipbuilding, Repair Yards, Shipping Companies, Ship Suppliers"
"CHINA STATE SHIPBUILDING CORPORATION (JIANGNAN SHIPYARDS GROUP, HUDONG-ZHONGHUA SHIPBUILDING, SWS ETC)",China,4.213,,,"Shipbuilding, Repair Yards"
CHRIS MARINE,Sweden,3.111,,,Engineroom Equipment
CHRISTODOULOS G. VASSILIADES & CO. LLC,Cyprus,4.224,http://www.vasslaw.com,,"Legal Services, Vessel Registration"
"CHUGOKU MARINE PAINTS, LTD",Japan,4.101/N,http://www.cmp.co.jp/global.html,,"Chemicals, Coatings, Paints, Corrosion Protection, Ship Suppliers, Underwater Technology"
"CHUGOKU MARINE PAINTS, LTD",Greece,3.223,http://www.cmp.co.jp/global.html,http://posidoniacrm.posidonia-events.com/Companies/GetCompanyLogo?CompanyId=3264,"Chemicals, Coatings, Paints, Corrosion Protection, Ship Suppliers, Underwater Technology"
CIRAMAR SHIPYARD,Dominican Republic,4.309,,,"Shipbuilding, Repair Yards"
"CITY, UNIVERSITY OF LONDON",United Kingdom,2.544,https://www.city.ac.uk/,http://posidoniacrm.posidonia-events.com/Companies/GetCompanyLogo?CompanyId=62864,Maritime Education
CKNAR CHARIS KYRIAKOY LTD,Cyprus,2.465,http://www.cknar.com,http://posidoniacrm.posidonia-events.com/Companies/GetCompanyLogo?CompanyId=62891,"Hydraulics, Other, Refrigeration Systems"
CLARKSONS RESEARCH,United Kingdom,1.221/A,http://www.crsl.com,http://posidoniacrm.posidonia-events.com/Companies/GetCompanyLogo?CompanyId=62519,"Consultancy Services, Shipbrokers"
CLASSIC AUTOMATION,USA,1.419,,,"Electrical, Electronics"
CLASSNK,Japan,"CWS4,4.101/O",http://www.classnk.com,,Classification Societies
CLEANER SEAS,United Kingdom,2.000,,,"Publications, Media"
CLEEMANN CHAIR SYSTEMS,Germany,1.542,http://www.chair-systems.com ,,"Shipbuilding, Repair Yards, Ship Suppliers"
CLEMCO INTERNATIONAL,Germany,3.428,,,Blasting Equipment
CL MARINE LIMITED,Trinidad and Tobago,1.317,,,"Repair Services, Shipbuilding, Repair Yards"
CLORIUS CONTROLS A/S,Denmark,3.315,http://www.cloriuscontrols.com,,"Automation, Electrical, Electronics, Engineroom Equipment, Monitoring Equipment, Pipes, Fittings, Pumps, Valves"
CLORIUS S.A.,Denmark,2.316,,,"Pumps, Valves"
CLOUD FIN,Greece,3.413,,,"Automation, Computer Applications, Big Data, IT Services, Internet Services"
C-MAP HELLAS,Greece,1.112,http://www.c-map.com,,"Computer Applications, Big Data, IT Services, Navigation Aids, Services Providers"
CME-ZHENJIANG,China,3.132,,,Ship Spare Parts
CMR KOMEA CO LTD,"Korea, Republic of",3.132,,,Other
CMR TUNISIA,Tunisia,2.417,,,"Shipbuilding, Repair Yards"
C.M.S. (CHELMIS MARINE SERVICES MONOPROSOPI I.K.E.),Greece,2.350,http://www.chelmismarineservices.com,,Services Providers
COBHAM,Denmark,1.113,,,"Electrical, Electronics, Satellite Communications"
COIMBRA SANTOS - BRAZIL LTDA,Brazil,4.134,,,In/Under-Water Repairs & Services
COLDHARBOUR MARINE LTD,United Kingdom,4.203,http://www.coldharbourmarine.com,http://posidoniacrm.posidonia-events.com/Companies/GetCompanyLogo?CompanyId=50198,"Ballast Water Management, Inert Gas Systems"
COLFAX FLUID HANDLING,Sweden,3.111,,,"Pumps, Valves"
COLTRACO,United Kingdom,2.144,,,"Firefighting Equipment, Monitoring Equipment"
COLUMBIA CRUISE SERVICES,Germany,2.111/G,,,Shipmanagement
COLUMBIA SHIPMANAGEMENT,Cyprus,2.111/G,http://www.columbia-shipmanagement.com,,"Consultancy Services, Design & Innovation, Management Systems, Maritime Training Programmes, Shipbuilding, Repair Yards, Shipmanagement, Training Services, Yachting, Brokers, Services"
COMBIJET MANUFACTURING LTD,Cyprus,2.405,http://www.combijet.com,http://posidoniacrm.posidonia-events.com/Companies/GetCompanyLogo?CompanyId=61781,"Blasting Equipment, Chemicals, Deck Equipment, Desalination Equipment, Filtration, Osmosis Systems, Pumps, Valves, Safety Equipment, Services, Separators, Tank Cleaning Systems, Water Saving & Treatment Systems"
COMELETRIC SRL,Italy,1.439,,,"Automation, Electrical, Electronics"
COMET,United Kingdom,2.525,,,"Safety Equipment, Services"
COMETTO,Italy,2.329/E,,,Cargo Handling
COMIG - X. & F. ANDRIKOPOULOS,Greece,2.139,http://www.comig.gr,http://posidoniacrm.posidonia-events.com/Companies/GetCompanyLogo?CompanyId=61260,Seals & Packings
COMTECH SRL,Italy,2.321,,,Separators
CONCRANE SRL,Italy,2.471,,,Cargo Handling
CONFLOW SPA,Italy,2.316,,,"Pumps, Valves"
CONSILIUM MARINE HELLAS LTD,Sweden,3.414,http://www.consilium.se,,"Air Emissions Control, Electrical, Electronics, Firefighting Equipment, Safety Equipment, Services"
CONSTANTA SHIPYARD (SANTIERUL NAVAL CONSTANTA S.A.),Romania,1.404,http://www.snc.ro,http://posidoniacrm.posidonia-events.com/Companies/GetCompanyLogo?CompanyId=46988,"Shipbuilding, Repair Yards"
"CONTIOCEAN ENVIRONMENT TECH CO., LTD",China,2.252,,,"Air Emissions Control, Clean Energy Solutions & Equipment, Consultancy Services, Design & Innovation, Energy Efficiency, Exhaust Gas Cleaning Solutions, Filtration, Management Systems, Other, Retrofitting, Water Saving & Treatment Systems"
COOL DYNAMIC - GKOUSKOS DIMITRIOS,Greece,3.309,http://www.cooldynamic.gr,http://posidoniacrm.posidonia-events.com/Companies/GetCompanyLogo?CompanyId=3317,"Accommodation Systems/Materials, Airconditioning, Ventilation, Automation, Chemicals, Compressor Suppliers, Design & Innovation, Energy Efficiency, Engineroom Equipment, Environmental Technologies, Gases, Refrigerants, LNG Technology, Logistics, Offshore Services, Pumps, Valves, Refrigeration Systems, Repair Services, Retrofitting, Separators, Services Providers, Ship Spare Parts, Ship Suppliers, Training Services"
COOPER BEARINGS,United Kingdom,3.215,,,Bearings
CORAL MARINE,Greece,2.349,http://www.coralmarine.gr,http://posidoniacrm.posidonia-events.com/Companies/GetCompanyLogo?CompanyId=62890,"Bunkers, Lubricants"
CORFU PORT AUTHORITY SA,Greece,4.315,,,"Ports, Port Authorities"
COSCO (NANTONG) SHIPYARD CO.,China,"4.309,4.213",,,"Shipbuilding, Repair Yards"
COSCO (SHANGHAI) SHIPYARD CO.,China,"4.309,4.213",,,"Shipbuilding, Repair Yards"
COSCO SHIPPING HEAVY INDUSTRY CO LTD,China,"4.305,4.309,4.213",http://en.chi.coscoshipping.com/,,"Shipbuilding, Repair Yards"
COSCO SHIPPING HEAVY INDUSTRY  (DALIAN) CO LTD,China,4.309,,,"Shipbuilding, Repair Yards"
"COSCO SHIPPING HEAVY INDUSTRY (DALIAN) CO LTD/ ""CHI (DALIAN)""",China,4.213,,,"Shipbuilding, Repair Yards"
COSCO SHIPPING HEAVY INDUSTRY (GUANGDONG) CO LTD,China,4.309,,,"Shipbuilding, Repair Yards"
"COSCO SHIPPING HEAVY INDUSTRY (GUANGDONG) CO LTD/ ""CHI (GUANGDONG)""",China,4.213,,,"Shipbuilding, Repair Yards"
COSCO SHIPPING HEAVY INDUSTRY (SHANGHAI) CO LTD,China,4.309,,,"Shipbuilding, Repair Yards"
"COSCO SHIPPING HEAVY INDUSTRY (SHANGHAI) CO LTD/ ""CHI (SHANGHAI)""",China,4.213,,,"Shipbuilding, Repair Yards"
COSCO SHIPPING HEAVY INDUSTRY (ZHOUSHAN) CO LTD,China,4.309,,,"Shipbuilding, Repair Yards"
"COSCO SHIPPING HEAVY INDUSTRY (ZHOUSHAN) CO LTD/ ""CHI (ZHOUSHAN)""",China,4.213,,,"Shipbuilding, Repair Yards"
COSCO SHIPYARD,China,1.521,,,"Shipbuilding, Repair Yards"
COSCO SHIPYARDS GROUP,China,1.317,,,"Repair Services, Shipbuilding, Repair Yards"
COSCO (WEIHAI) SHIPBUILDING MARINE TECHNOLOGY CO. LTD,China,"4.309,4.134",,,"Ballast Water Management, Environmental Technologies"
COSCO XIAMEN SHIPYARD,China,4.213,,,"Shipbuilding, Repair Yards"
COSMOS NAUTICAL TRAINING CENTRE,Greece,3.351,http://WWW.COSMOSTRAINING.GR,,"Maritime Education, Maritime Training Programmes, Training Services"
COTZIAS INTERMODAL SHIPPING INC.,Greece,3.426,http://www.cotziasintermodal.gr,,"Port Agencies, Services, Towage, Salvage"
CPT REMOLCADORES,Chile,2.217,,,"Towage, Salvage"
CREWSEAS MANAGEMENT LTD.,United Kingdom,2.249,,,"Crewing Services, Shipmanagement"
CR OCEAN ENGINEERING,USA,1.115,,,Exhaust Gas Cleaning Solutions
CROMWELL MARINE ENGINEERS,Argentina,2.419,,,"Automation, Electrical, Electronics, Repair Services"
CROSSCOMAR S.L.,Spain,1.129,,,"Repair Services, Services Providers"
CROSS TECHNICAL SERVICES LTD,Greece,4.116,http://www.cross.com.gr,,"Cargo Handling, Energy Efficiency, Monitoring Equipment, Pollution Control, Retrofitting, Services Providers"
CROWN MARINE SEATS,United Kingdom,2.417,,,Other
CRUISETIMES,Ireland,2.000,,,"Publications, Media"
CRYOSTAR SAS,France,3.111,,,Cryogenic Equipment
CSBC CORP.TAIWAN SHIPYARD,Taiwan,1.317,,,"Repair Services, Shipbuilding, Repair Yards"
CSIC BOHAI SHIPBUILDING HEAVY INDUSTRY,China,4.213,,,"Shipbuilding, Repair Yards"
CSIC DALIAN SHIPBUILDING INDUSTRY,China,4.213,,,"Shipbuilding, Repair Yards"
"CSIC SHANGHAI MARINE ENERGY SAVING TECHNOLOGY DEVELOPMENT CO., LTD",China,3.343/3,http://cmesen.rhcwx.com/,,"Energy Efficiency, Propellers"
CSSC CHENGXI SHIPYARD,China,4.213,,,"Shipbuilding, Repair Yards"
CSSC MARINE SERVICE CO.,China,3.111,,,Services Providers
CTC PIPELINES SYSTEM,China,2.417,,,"Pipes, Fittings"
C&T PERDIKARIS NAVAL ARCHITECTS BUREAU,Greece,3.325,,,Design & Innovation
CUBIC MARINE LOGISTICS,Greece,3.325,,,Logistics
CUMMINS,USA,1.552,,,Propulsion Systems
CYPRUS DEPUTY MINISTRY OF SHIPPING,Cyprus,"2.111,WS4,2.111/A",http://www.shipping.gov.cy,,Vessel Registration
CYPRUS MARINE INSPECTIONS LTD,Cyprus,2.111/Q,,,"Safety Equipment, Services"
CYPRUS MARITIME ACADEMY,Cyprus,2.111/H,http://www.cyma.ac.cy,,"Maritime Education, Maritime Training Programmes"
CYPRUS SHIPPING CHAMBER,Cyprus,2.111/C,http://www.csc-cy.org,,"Associations, Organisations"
DAECHUN INDUSTRIAL CO. LTD.,"Korea, Republic of",2.509,,,"Pipes, Fittings"
DAEHAN SHIPBUILDING CO LTD,"Korea, Republic of",4.213,,,"Shipbuilding, Repair Yards"
DAE JOO MARINE CO LTD,"Korea, Republic of",3.562,http://www.marinesupply.co.kr,,"Chemicals, Logistics, Repair Services, Shipchandlers, Ship Spare Parts, Ship Suppliers"
"DAESUN SHIPBUILDING & ENGINEERING CO., LTD.","Korea, Republic of",4.213,,,"Shipbuilding, Repair Yards"
DAEWOO MANGALIA SHIPYARD,Romania,4.213,,,"Shipbuilding, Repair Yards"
"DAEWOO SHIPBUILDING & MARINE ENGINEERING CO, LTD","Korea, Republic of","3.301/B,4.213",http://www.dsme.co.kr,,"Shipbuilding, Repair Yards"
DAEYANG,"Korea, Republic of",3.132,,,"Electrical, Electronics"
DAFO FOMTEC AB,Sweden,2.144,,,Firefighting Equipment
"DAIHATSU DIESEL MFG. CO, LTD",Japan,4.101/B,http://www.dhtd.co.jp,,"Generating Sets, Propulsion Systems"
DAIKIN,Japan,4.117,,,"Airconditioning, Ventilation, Refrigeration Systems"
DAKARNAVE SHIPYARD / CHANTIERS NAVALS DE DAKAR SA,Senegal,2.119,http://www.dakarnave.com,,"Shipbuilding, Repair Yards"
DALIAN SHIPBUILDING MARINE SERVICES (DSIC),China,4.213,,,"Shipbuilding, Repair Yards"
DALWIN MARINE,Singapore,2.102,http://www.dalwin.com,,"Repair Services, Ship Spare Parts"
DAMEN SCHELDE MARINE SERVICES,"Netherlands, The",3.132,http://dsms247.biz,,"Automation, Bearings, Engineroom Equipment, Pumps, Valves, Retrofitting, Ship Spare Parts"
DAMEN SHIPREPAIR & CONVERSION,"Netherlands, The",4.320/I,http://www.damenshiprepair.com,,"Retrofitting, Shipbuilding, Repair Yards"
DAMEN SHIPYARDS GROUP,"Netherlands, The",4.320/E,http://www.damen.com,,"Ballast Water Management, Dredging Equipment, Ship Spare Parts, Ship Suppliers"
DANAOS MANAGEMENT CONSULTANTS SA,Greece,2.205,http://danaos.gr,,"Computer Applications, Big Data, IT Services, Consultancy Services, Energy Efficiency, Management Systems, Offshore Systems & Applications"
DANAOS NET,Greece,2.205,http://danaos.gr,,"Automation, Management Systems"
DANAOS PERIPHERALS S.A.,Greece,2.205,http://danaos.gr,,"Computer Applications, Big Data, IT Services, Consultancy Services, Offshore Systems & Applications"
DANAOS PROJECTS,Greece,2.205,http://danaos-projects.com,,"Computer Applications, Big Data, IT Services, Consultancy Services, Management Systems, Offshore Systems & Applications"
DANELEC MARINE,Denmark,1.113,,,"Electrical, Electronics, Services Providers"
DANFOSS,Denmark,"2.433,1.419,3.425,3.144",,,"Airconditioning, Ventilation, Automation, Osmosis Systems, Refrigeration Systems"
DANIAMANT APS,Denmark,3.444,,,"Safety Equipment, Services"
DANIAMANT LTD,Denmark,"2.525,3.444",,,"Safety Equipment, Services"
DANISH MARINE GROUP- DANISH EXPORT ASSOCIATION,Denmark,"3.411,3.411/A",http://www.dk-danishmarine.com,,"Associations, Organisations"
DANISH MARITIME MAGAZINE,Denmark,2.000,,,"Publications, Media"
DAN MARINE GROUP LTD,China,"4.109,4.108",,,"Other, Ship Spare Parts, Ship Suppliers"
DAROS FEDERAL-MOGUL GOTEBORG AB,Sweden,1.214,,,"Other, Ship Spare Parts"
DATA CONSULTING,Greece,3.413,,,"Computer Applications, Big Data, IT Services, Management Systems"
DATEMA NAUTICAL SAFETY,"Netherlands, The",4.320/G,http://www.datema.nl,,"Firefighting Equipment, Navigation Aids, Safety Equipment, Services"
DATUM ELECTRONICS,United Kingdom,4.203,,,"Design & Innovation, Electrical, Electronics, Energy Efficiency, Engineroom Equipment, Maritime Training Programmes, Monitoring Equipment"
DB SCHENKER,Greece,1.322,http://www.dbschenker.com/gr,http://posidoniacrm.posidonia-events.com/Companies/GetCompanyLogo?CompanyId=3315,"Logistics, Ship Spare Parts"
DECKMA HAMBURG GMBH,Germany,2.521,,,"Monitoring Equipment, Pollution Control"
DECON SA,Greece,3.131/6,http://www.decon.gr,,"Accommodation Systems/Materials, Design & Innovation, Management Systems"
DEIF A/S,Denmark,"3.411/K,1.419",http://www.deif.com,,"Automation, Electrical, Electronics, Energy Efficiency, Management Systems, Monitoring Equipment, Retrofitting"
DELITEK AS,Norway,3.105,http://www.delitek.no,,"Deck Equipment, Environmental Technologies"
DELLNER BRAKES AB SHAFT BRAKING SYSTEMS,Sweden,3.215,,,Propulsion Systems
DELTA CONTROLS LTD,United Kingdom,2.560,,,Automation
DELTAMECO CREWING SERVICES LTD,United Kingdom,3.556,http://www.deltamecocrewing.com,,Crewing Services
DELTA PI DIAGNOSTICS,Greece,2.321,,,"Consultancy Services, Management Systems"
DELTA PLUS,France,3.430,,,"Filtration, Safety Equipment, Services"
DELTA SHIP REPAIR FZ?,United Arab Emirates,3.307,,,Repair Services
DEME GROUP,Belgium,1.224,https://www.deme-group.com,,"Blasting Equipment, Design & Innovation, Dredging Equipment, Electrical, Electronics, Hydraulics, Logistics, Offshore Services, Offshore Systems & Applications, Shipbuilding, Repair Yards"
DEMETRIADES HYDRAULICS LTD (DEMEMARINE SERVICES),Cyprus,2.405,http://www.dememarine.com,http://posidoniacrm.posidonia-events.com/Companies/GetCompanyLogo?CompanyId=55279,"Bearings, Compressor Suppliers, Deck Equipment, Filtration, Hydraulics, Pipes, Fittings, Pumps, Valves, Repair Services, Seals & Packings, Separators, Ship Spare Parts"
